species,date,year,km1grid,km2grid,km5grid,km10grid,tp5,tp10
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1933-08-05,1933,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1932-05-15,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1937-08-18,1937,SU9274,SU97H,SU97SW,SU97,1935-1939,1930-1939
Vespa crabro,1931-08-21,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1930-10-14,1930,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-08-21,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1933-04-04,1933,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1933-09-04,1933,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1932-10-21,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1933-09-05,1933,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1931-10-13,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1931-10-10,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1941-10-23,1941,SU9779,SU97U,SU97NE,SU97,1940-1944,1940-1949
Vespa crabro,1937-09-02,1937,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1932-06-22,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-08-21,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-10-23,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1922-06-03,1922,SU9779,SU97U,SU97NE,SU97,1920-1924,1920-1929
Vespula vulgaris,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1931-08-16,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-08-16,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-08-16,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1905-04-13,1905,SU9779,SU97U,SU97NE,SU97,1905-1909,1900-1909
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1929-07-23,1929,SU9779,SU97U,SU97NE,SU97,1925-1929,1920-1929
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-10-10,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-08-16,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1932-10-04,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespa crabro,1931-10-10,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1934-04-14,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1931-08-16,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespa crabro,1931-10-10,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1977-11-12,1977,SX5268,SX56J,SX56NW,SX56,1975-1979,1970-1979
Vespula germanica,1967-05-01,1967,SX5268,SX56J,SX56NW,SX56,1965-1969,1960-1969
Vespa crabro,1933-08-01,1933,SX8178,SX87E,SX87NW,SX87,1930-1934,1930-1939
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1933-08-01,1933,SX8178,SX87E,SX87NW,SX87,1930-1934,1930-1939
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1928-08-17,1928,SX8178,SX87E,SX87NW,SX87,1925-1929,1920-1929
Vespa crabro,1946-08-21,1946,SY2998,SY29Z,SY29NE,SY29,1945-1949,1940-1949
Vespa crabro,1946-10-06,1946,SY2998,SY29Z,SY29NE,SY29,1945-1949,1940-1949
Vespa crabro,1946-08-21,1946,SY2998,SY29Z,SY29NE,SY29,1945-1949,1940-1949
Vespa crabro,1979-12-03,1979,SY2998,SY29Z,SY29NE,SY29,1975-1979,1970-1979
Vespa crabro,1946-08-21,1946,SY2998,SY29Z,SY29NE,SY29,1945-1949,1940-1949
Vespa crabro,1946-08-21,1946,SY2998,SY29Z,SY29NE,SY29,1945-1949,1940-1949
Vespula vulgaris,1977-03-14,1977,SZ0790,SZ09Q,SZ09SE,SZ09,1975-1979,1970-1979
Vespula vulgaris,1981-09-05,1981,SZ3589,SZ38P,SZ38NE,SZ38,1980-1984,1980-1989
Vespula germanica,1976-08-21,1976,SZ5577,SZ57N,SZ57NE,SZ57,1975-1979,1970-1979
Vespula germanica,1971-05-15,1971,SZ5476,SZ57N,SZ57NW,SZ57,1970-1974,1970-1979
Vespula germanica,1970-06-20,1970,SZ5476,SZ57N,SZ57NW,SZ57,1970-1974,1970-1979
Vespula vulgaris,1977-07-28,1977,SZ5577,SZ57N,SZ57NE,SZ57,1975-1979,1970-1979
Vespula vulgaris,1980-04-19,1980,SZ5476,SZ57N,SZ57NW,SZ57,1980-1984,1980-1989
Vespa crabro,1982-09-15,1982,TF6619,TF61U,TF61NE,TF61,1980-1984,1980-1989
Vespa crabro,1992-09-15,1992,TF6619,TF61U,TF61NE,TF61,1990-1994,1990-1999
Vespa crabro,1982-09-15,1982,TF6619,TF61U,TF61NE,TF61,1980-1984,1980-1989
Vespa crabro,1982-09-15,1982,TF6619,TF61U,TF61NE,TF61,1980-1984,1980-1989
Vespula germanica,1934-08-12,1934,TG2242,TG24G,TG24SW,TG24,1930-1934,1930-1939
Vespa crabro,1923-05-07,1923,TG2242,TG24G,TG24SW,TG24,1920-1924,1920-1929
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespa crabro,1947-10-01,1947,TL1407,TL10N,TL10NW,TL10,1945-1949,1940-1949
Vespa crabro,1944-09-25,1944,TL1407,TL10N,TL10NW,TL10,1940-1944,1940-1949
Vespula vulgaris,1966-07-30,1966,TL1407,TL10N,TL10NW,TL10,1965-1969,1960-1969
Vespa crabro,1902-05-26,1902,TL2371,TL27F,TL27SW,TL27,1900-1904,1900-1909
Vespa crabro,1902-05-26,1902,TL2371,TL27F,TL27SW,TL27,1900-1904,1900-1909
Vespa crabro,1944-11-25,1944,TL4558,TL45P,TL45NE,TL45,1940-1944,1940-1949
Vespula germanica,1976-05-01,1976,TL4558,TL45P,TL45NE,TL45,1975-1979,1970-1979
Vespa crabro,1905-04-08,1905,TL4558,TL45P,TL45NE,TL45,1905-1909,1900-1909
Vespa crabro,1954-06-06,1954,TL6469,TL66P,TL66NW,TL66,1950-1954,1950-1959
Vespula germanica,1918-10-19,1918,TL9925,TL92X,TL92NE,TL92,1915-1919,1910-1919
Vespula germanica,1918-10-19,1918,TL9925,TL92X,TL92NE,TL92,1915-1919,1910-1919
Vespa crabro,1918-12-19,1918,TL9925,TL92X,TL92NE,TL92,1915-1919,1910-1919
Vespula germanica,1933-08-08,1933,TQ0756,TQ05T,TQ05NE,TQ05,1930-1934,1930-1939
Vespula germanica,1934-08-30,1934,TQ0756,TQ05T,TQ05NE,TQ05,1930-1934,1930-1939
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespula vulgaris,1927-10-08,1927,TQ0661,TQ06Q,TQ06SE,TQ06,1925-1929,1920-1929
Vespula vulgaris,1927-09-20,1927,TQ0661,TQ06Q,TQ06SE,TQ06,1925-1929,1920-1929
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespula vulgaris,1927-10-19,1927,TQ0661,TQ06Q,TQ06SE,TQ06,1925-1929,1920-1929
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespula vulgaris,1927-10-17,1927,TQ0661,TQ06Q,TQ06SE,TQ06,1925-1929,1920-1929
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1951-04-01,1951,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespula vulgaris,1924-05-17,1924,TQ0661,TQ06Q,TQ06SE,TQ06,1920-1924,1920-1929
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1948-08-12,1948,TQ0661,TQ06Q,TQ06SE,TQ06,1945-1949,1940-1949
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespula vulgaris,1924-05-21,1924,TQ0661,TQ06Q,TQ06SE,TQ06,1920-1924,1920-1929
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1950-10-01,1950,TQ0661,TQ06Q,TQ06SE,TQ06,1950-1954,1950-1959
Vespa crabro,1916-08-01,1916,TQ0371,TQ07F,TQ07SW,TQ07,1915-1919,1910-1919
Vespa crabro,1933-09-01,1933,TQ0371,TQ07F,TQ07SW,TQ07,1930-1934,1930-1939
Vespa crabro,2004-05-28,2004,TQ0491,TQ09K,TQ09SW,TQ09,2000-2004,2000-2009
Vespa crabro,2011-05-06,2011,TQ0491,TQ09K,TQ09SW,TQ09,2010-2014,2010-2019
Vespa crabro,2004-07-31,2004,TQ0491,TQ09K,TQ09SW,TQ09,2000-2004,2000-2009
Vespa crabro,2011-04-30,2011,TQ0491,TQ09K,TQ09SW,TQ09,2010-2014,2010-2019
Vespa crabro,2004-08-13,2004,TQ0491,TQ09K,TQ09SW,TQ09,2000-2004,2000-2009
Vespa crabro,2008-08-11,2008,TQ0491,TQ09K,TQ09SW,TQ09,2005-2009,2000-2009
Vespa crabro,2004-08-05,2004,TQ0491,TQ09K,TQ09SW,TQ09,2000-2004,2000-2009
Vespula germanica,1993-09-26,1993,TQ0491,TQ09K,TQ09SW,TQ09,1990-1994,1990-1999
Vespa crabro,2005-06-29,2005,TQ0491,TQ09K,TQ09SW,TQ09,2005-2009,2000-2009
Vespa crabro,2005-06-08,2005,TQ0491,TQ09K,TQ09SW,TQ09,2005-2009,2000-2009
Vespa crabro,2008-08-11,2008,TQ0491,TQ09K,TQ09SW,TQ09,2005-2009,2000-2009
Vespula germanica,1922-05-01,1922,TQ1744,TQ14S,TQ14SE,TQ14,1920-1924,1920-1929
Vespula germanica,1922-06-01,1922,TQ1744,TQ14S,TQ14SE,TQ14,1920-1924,1920-1929
Vespula germanica,1906-09-01,1906,TQ1744,TQ14S,TQ14SE,TQ14,1905-1909,1900-1909
Vespula germanica,1922-05-01,1922,TQ1744,TQ14S,TQ14SE,TQ14,1920-1924,1920-1929
Vespula germanica,1922-05-01,1922,TQ1744,TQ14S,TQ14SE,TQ14,1920-1924,1920-1929
Vespula germanica,1921-10-02,1921,TQ1354,TQ15H,TQ15SW,TQ15,1920-1924,1920-1929
Vespula germanica,1921-10-02,1921,TQ1354,TQ15H,TQ15SW,TQ15,1920-1924,1920-1929
Vespula germanica,1921-06-26,1921,TQ1262,TQ16G,TQ16SW,TQ16,1920-1924,1920-1929
Vespa crabro,1901-09-28,1901,TQ1860,TQ16V,TQ16SE,TQ16,1900-1904,1900-1909
Vespula germanica,1921-06-26,1921,TQ1262,TQ16G,TQ16SW,TQ16,1920-1924,1920-1929
Vespa crabro,1901-09-28,1901,TQ1860,TQ16V,TQ16SE,TQ16,1900-1904,1900-1909
Vespula germanica,1921-06-26,1921,TQ1262,TQ16G,TQ16SW,TQ16,1920-1924,1920-1929
Vespa crabro,1901-09-28,1901,TQ1860,TQ16V,TQ16SE,TQ16,1900-1904,1900-1909
Vespula vulgaris,1979-03-02,1979,TQ1362,TQ16G,TQ16SW,TQ16,1975-1979,1970-1979
Vespa crabro,1990-08-22,1990,TQ1972,TQ17W,TQ17SE,TQ17,1990-1994,1990-1999
Vespa crabro,1993-07-03,1993,TQ1972,TQ17W,TQ17SE,TQ17,1990-1994,1990-1999
Vespa crabro,1933-10-01,1933,TQ2567,TQ26N,TQ26NE,TQ26,1930-1934,1930-1939
Vespula germanica,1961-08-01,1961,TQ2567,TQ26N,TQ26NE,TQ26,1960-1964,1960-1969
Vespula germanica,1961-08-01,1961,TQ2567,TQ26N,TQ26NE,TQ26,1960-1964,1960-1969
Vespula germanica,1967-06-04,1967,TQ2763,TQ26R,TQ26SE,TQ26,1965-1969,1960-1969
Vespula germanica,1961-08-01,1961,TQ2567,TQ26N,TQ26NE,TQ26,1960-1964,1960-1969
Vespula germanica,1972-05-01,1972,TQ2679,TQ27U,TQ27NE,TQ27,1970-1974,1970-1979
Vespa crabro,1946-03-17,1946,TQ2273,TQ27G,TQ27SW,TQ27,1945-1949,1940-1949
Vespa crabro,1981-12-02,1981,TQ2171,TQ27A,TQ27SW,TQ27,1980-1984,1980-1989
Vespula vulgaris,1970-08-13,1970,TQ2679,TQ27U,TQ27NE,TQ27,1970-1974,1970-1979
Vespula vulgaris,1966-10-04,1966,TQ2678,TQ27U,TQ27NE,TQ27,1965-1969,1960-1969
Vespula germanica,1998-06-16,1998,TQ2679,TQ27U,TQ27NE,TQ27,1995-1999,1990-1999
Vespula germanica,1933-04-15,1933,TQ2370,TQ27F,TQ27SW,TQ27,1930-1934,1930-1939
Vespa crabro,2015-08-22,2015,TQ2171,TQ27A,TQ27SW,TQ27,2015-2019,2010-2019
Vespula germanica,1998-06-16,1998,TQ2679,TQ27U,TQ27NE,TQ27,1995-1999,1990-1999
Vespula germanica,2015-07-18,2015,TQ2273,TQ27G,TQ27SW,TQ27,2015-2019,2010-2019
Vespula germanica,1933-04-14,1933,TQ2370,TQ27F,TQ27SW,TQ27,1930-1934,1930-1939
Vespula germanica,1918-05-19,1918,TQ2678,TQ27U,TQ27NE,TQ27,1915-1919,1910-1919
Vespula germanica,1921-05-04,1921,TQ2370,TQ27F,TQ27SW,TQ27,1920-1924,1920-1929
Vespula vulgaris,1968-11-28,1968,TQ2679,TQ27U,TQ27NE,TQ27,1965-1969,1960-1969
Vespula germanica,1918-08-22,1918,TQ2370,TQ27F,TQ27SW,TQ27,1915-1919,1910-1919
Vespula germanica,1918-08-21,1918,TQ2370,TQ27F,TQ27SW,TQ27,1915-1919,1910-1919
Vespula vulgaris,1963-03-11,1963,TQ2679,TQ27U,TQ27NE,TQ27,1960-1964,1960-1969
Vespula vulgaris,1962-09-11,1962,TQ2879,TQ27Z,TQ27NE,TQ27,1960-1964,1960-1969
Vespula vulgaris,1966-09-26,1966,TQ2678,TQ27U,TQ27NE,TQ27,1965-1969,1960-1969
Vespula vulgaris,1919-10-16,1919,TQ2678,TQ27U,TQ27NE,TQ27,1915-1919,1910-1919
Vespa crabro,1937-04-27,1937,TQ2273,TQ27G,TQ27SW,TQ27,1935-1939,1930-1939
Vespula germanica,2008-07-11,2008,TQ2679,TQ27U,TQ27NE,TQ27,2005-2009,2000-2009
Vespula germanica,1998-06-16,1998,TQ2679,TQ27U,TQ27NE,TQ27,1995-1999,1990-1999
Vespula germanica,1918-06-02,1918,TQ2685,TQ28S,TQ28NE,TQ28,1915-1919,1910-1919
Vespula germanica,1926-06-01,1926,TQ2685,TQ28S,TQ28NE,TQ28,1925-1929,1920-1929
Vespula vulgaris,1936-08-03,1936,TQ2392,TQ29G,TQ29SW,TQ29,1935-1939,1930-1939
Vespula germanica,1935-08-28,1935,TQ2392,TQ29G,TQ29SW,TQ29,1935-1939,1930-1939
Vespula vulgaris,1909-04-20,1909,TQ2392,TQ29G,TQ29SW,TQ29,1905-1909,1900-1909
Vespula vulgaris,1936-04-24,1936,TQ2392,TQ29G,TQ29SW,TQ29,1935-1939,1930-1939
Vespula vulgaris,1949-08-01,1949,TQ3355,TQ35H,TQ35NW,TQ35,1945-1949,1940-1949
Vespula germanica,1937-10-01,1937,TQ3952,TQ35W,TQ35SE,TQ35,1935-1939,1930-1939
Vespula germanica,1937-11-07,1937,TQ3952,TQ35W,TQ35SE,TQ35,1935-1939,1930-1939
Vespula germanica,1937-10-01,1937,TQ3952,TQ35W,TQ35SE,TQ35,1935-1939,1930-1939
Vespula germanica,1937-10-01,1937,TQ3952,TQ35W,TQ35SE,TQ35,1935-1939,1930-1939
Vespa crabro,1985-10-19,1985,TQ3271,TQ37F,TQ37SW,TQ37,1985-1989,1980-1989
Vespula vulgaris,1949-08-30,1949,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula vulgaris,1947-10-20,1947,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula vulgaris,1949-08-30,1949,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula germanica,1935-06-03,1935,TQ4566,TQ46N,TQ46NE,TQ46,1935-1939,1930-1939
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespula vulgaris,2002-04-10,2002,TQ4464,TQ46M,TQ46SW,TQ46,2000-2004,2000-2009
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespa crabro,1946-09-24,1946,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula germanica,1960-07-01,1960,TQ4464,TQ46M,TQ46SW,TQ46,1960-1964,1960-1969
Vespula vulgaris,1949-08-30,1949,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespula vulgaris,2002-04-10,2002,TQ4464,TQ46M,TQ46SW,TQ46,2000-2004,2000-2009
Vespula germanica,1935-08-01,1935,TQ4566,TQ46N,TQ46NE,TQ46,1935-1939,1930-1939
Vespula vulgaris,1949-08-30,1949,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula germanica,1997-04-01,1997,TQ4464,TQ46M,TQ46SW,TQ46,1995-1999,1990-1999
Vespula germanica,1947-10-05,1947,TQ4566,TQ46N,TQ46NE,TQ46,1945-1949,1940-1949
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespula vulgaris,1959-08-07,1959,TQ4566,TQ46N,TQ46NE,TQ46,1955-1959,1950-1959
Vespula germanica,1949-10-01,1949,TQ5174,TQ57C,TQ57SW,TQ57,1945-1949,1940-1949
Vespula germanica,1949-04-01,1949,TQ5174,TQ57C,TQ57SW,TQ57,1945-1949,1940-1949
Vespula germanica,1949-04-01,1949,TQ5174,TQ57C,TQ57SW,TQ57,1945-1949,1940-1949
Vespula germanica,1936-10-18,1936,TQ5993,TQ59W,TQ59SE,TQ59,1935-1939,1930-1939
Vespula vulgaris,1934-05-27,1934,TQ5993,TQ59W,TQ59SE,TQ59,1930-1934,1930-1939
Vespa crabro,1945-09-09,1945,TQ5993,TQ59W,TQ59SE,TQ59,1945-1949,1940-1949
Vespula vulgaris,1946-05-18,1946,TQ5993,TQ59W,TQ59SE,TQ59,1945-1949,1940-1949
Vespula germanica,1924-10-13,1924,TQ5993,TQ59W,TQ59SE,TQ59,1920-1924,1920-1929
Vespula germanica,1936-09-29,1936,TQ5993,TQ59W,TQ59SE,TQ59,1935-1939,1930-1939
Vespula vulgaris,1936-09-30,1936,TQ5993,TQ59W,TQ59SE,TQ59,1935-1939,1930-1939
Vespula vulgaris,1934-05-04,1934,TQ5993,TQ59W,TQ59SE,TQ59,1930-1934,1930-1939
Vespula vulgaris,1936-11-06,1936,TQ5993,TQ59W,TQ59SE,TQ59,1935-1939,1930-1939
Vespula vulgaris,1937-10-01,1937,TQ5993,TQ59W,TQ59SE,TQ59,1935-1939,1930-1939
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespula vulgaris,1991-11-06,1991,TQ7655,TQ75S,TQ75NE,TQ75,1990-1994,1990-1999
Vespula vulgaris,1913-10-06,1913,TQ7955,TQ75X,TQ75NE,TQ75,1910-1914,1910-1919
Vespula germanica,2002-10-16,2002,TQ7359,TQ75J,TQ75NW,TQ75,2000-2004,2000-2009
Vespula germanica,1979-09-23,1979,TQ7359,TQ75J,TQ75NW,TQ75,1975-1979,1970-1979
Vespula germanica,1979-09-02,1979,TQ7359,TQ75J,TQ75NW,TQ75,1975-1979,1970-1979
Vespula germanica,2003-03-10,2003,TQ7359,TQ75J,TQ75NW,TQ75,2000-2004,2000-2009
Vespula germanica,1913-04-28,1913,TQ7955,TQ75X,TQ75NE,TQ75,1910-1914,1910-1919
Vespa crabro,2006-10-14,2006,TQ7359,TQ75J,TQ75NW,TQ75,2005-2009,2000-2009
Vespula germanica,1979-09-02,1979,TQ7359,TQ75J,TQ75NW,TQ75,1975-1979,1970-1979
Vespula vulgaris,1913-06-14,1913,TQ7955,TQ75X,TQ75NE,TQ75,1910-1914,1910-1919
